Quarter,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2016_1,19726,114387,83674,146661,1406014,186822,112811,38027,30782,641684,283762,37157,94472,54580,380958,156103,84538,117249,120511,235375,166824,48745,232485,151545,183278,68415,43120,260150,29873,67831,48084,251987,54160,79955,609278,277466,102994,137836,339236,44183,35796,119093,30316,147444,636468,90463,253852,3252,23254,238020,159058,45814,24542
2016_2,19942,115431,83949,148652,1422416,187680,113469,37770,31024,647485,288892,37592,94663,55660,386293,156997,84822,117443,121614,239167,167786,49429,232658,153491,184413,68661,43799,262112,29996,68785,48763,254817,54371,80041,615642,278527,103441,137963,338471,44405,36089,120313,30518,147822,638388,91558,258594,3235,23452,236192,161069,45978,24700
2016_3,20095,116163,84404,150400,1445110,190143,113403,38984,31339,654757,291038,38017,95088,56694,389831,157431,85358,118321,122720,240828,166714,50182,234593,155250,183887,69774,43889,259474,30072,69538,49238,258259,53777,80517,621855,279075,103732,140613,339438,43952,36295,121368,30596,149268,644368,93131,260500,3255,23691,236546,162938,46240,24525
2016_4,20004,118149,84761,152469,1467915,189345,113939,39182,31343,663829,295105,38497,95446,57475,393619,155898,85492,118212,123839,242633,168269,51055,234451,156748,186772,70192,44475,262246,30101,67523,49375,264300,54112,80229,625927,279569,103540,142605,339779,43911,36432,122620,30804,150706,647562,94434,254355,3313,23799,237123,162839,46310,24356
2017_1,19496,116577,84556,151659,1455994,192810,114028,38777,31222,660743,262466,38437,94571,57273,347452,158995,84225,114534,123066,243030,168627,50228,234307,156812,190386,68473,45212,262005,29724,68002,48582,255184,53908,77167,614588,280091,103430,141841,341362,44318,36350,122231,30613,150951,654419,93002,257487,3281,23852,239176,162192,45796,24348
2017_2,19782,117793,84798,153918,1469788,195284,115061,38580,31312,668791,267290,38901,95082,58109,352510,159449,84356,115525,124297,244574,169228,50723,237545,160243,194941,68720,46067,264477,29835,68986,49312,258376,53659,77851,621536,281598,104385,143700,340438,44708,36584,123951,30788,151990,657152,94603,261649,3223,24062,237367,164092,46197,24569
2017_3,20017,118916,85243,155746,1485239,196848,115792,39935,31515,666111,266085,39383,95882,58852,354673,159880,83187,116097,125236,247202,167672,51270,237827,162401,198016,69411,47032,266556,29897,69743,49594,260465,53944,78866,627735,282000,105004,146037,340431,43474,36867,125665,30979,153199,662315,95892,263737,3344,24075,237055,165726,46532,24786
2017_4,19917,121004,85811,158149,1508465,196406,116014,40969,31430,673997,266392,39968,96070,59449,358804,158193,83406,116450,125952,246790,169084,51272,239875,164475,199129,70048,47960,268517,29941,67865,49903,264786,54470,79282,629373,282844,105640,146751,340641,43038,36794,127915,31060,154193,667708,98059,266911,3275,24147,235666,165141,46803,24784
2018_1,19589,119359,85710,153737,1492681,199314,116357,39013,31709,674225,268715,39551,96143,58681,355711,161577,82969,117924,124543,247276,169316,49870,237660,165068,185634,69134,46339,272064,29596,68181,49079,258915,55306,78099,616617,282604,104411,145869,341499,42893,36920,125233,31040,155144,672247,96668,267153,3280,23943,241572,165171,46831,24679
2018_2,19865,120094,85940,155455,1507029,201443,117219,38753,32320,681069,268332,39911,96622,60137,359504,162484,83423,118138,125534,249657,169240,49692,239046,167738,190160,69538,47379,270830,29847,69023,49878,261261,56058,79168,621051,281788,104925,148064,342904,43006,37151,127582,31170,156602,674050,98471,268396,3284,24078,244456,167026,46953,24831
2018_3,20019,121207,86353,157672,1522971,203329,117746,39680,32953,686422,269466,40480,96777,61750,358437,163275,84118,114313,126714,250038,169458,49531,244225,170169,193014,70161,48451,267526,30068,66940,50424,264341,56482,79813,625559,283476,104691,150470,342760,43129,37506,129155,31370,158174,680572,100334,271933,3442,24336,245321,168671,47265,24916
2018_4,20083,123255,87058,160127,1548706,202966,118728,39853,33254,696397,275651,41155,97099,62933,360462,160772,84643,115700,127985,252679,171324,50154,242879,172164,195335,70745,49431,270514,30006,67755,50834,268119,57028,81410,628086,284672,105529,152268,342789,43339,37637,131463,31563,159603,687099,102789,275264,3313,24336,245541,169740,47313,25066
2019_1,19744,121712,87050,159104,1526569,205023,118431,39678,33189,703024,273945,41356,97329,58396,363056,162975,82216,117886,127211,252912,171736,49948,242161,167590,196456,69037,46396,275732,29620,67979,50112,267566,57616,79172,618174,285693,104806,150769,344275,44424,37951,134684,31546,160452,692054,101401,271456,3353,24292,247316,166956,46841,25013
2019_2,20092,123235,87237,160836,1539626,207104,119592,39512,33720,706099,276818,41825,98012,59664,366156,163463,81722,116444,128187,254284,172901,50430,254328,170726,198070,69241,47264,276315,29864,69021,50864,270426,58068,80390,627518,286407,105318,152141,345156,45090,38107,135678,31671,161378,694953,102902,273238,3288,24487,247970,168965,46875,25191
2019_3,20325,123368,87849,162696,1559922,209363,120127,40924,34116,714994,281755,42373,98329,61083,366038,163785,82653,118024,129457,253755,172294,50729,260538,173019,199798,70130,48477,279407,29879,66430,51439,273427,59156,81890,629058,288102,106242,153617,346356,45394,38177,138207,31806,162019,700749,104658,271559,3282,24568,249022,168861,46970,25290
2019_4,20487,124326,88583,165815,1586287,208811,120420,41213,34282,723098,288596,42959,98277,63429,368013,162857,83728,116349,130623,253669,173544,50725,258840,175032,203143,70838,49486,283688,30014,67485,52023,274780,60366,83698,633094,289200,106892,155039,347333,45762,38362,137424,32071,164143,704797,107253,272777,3232,24744,249997,170180,47159,25531
2020_1,20319,123323,88715,166046,1572984,211720,120589,41739,34466,729050,294707,42859,98350,63489,367184,166624,81850,118773,131603,253609,174135,50594,259363,171305,204516,69828,48296,288015,30149,67986,51484,277090,58730,83923,634368,289436,105886,155404,346945,44679,38858,138368,32144,165806,713594,105054,272920,3419,24651,251996,169887,47297,25690
2020_2,20556,124500,88623,167955,1583308,214002,120357,41326,34327,732344,296684,43454,98485,65836,369337,167802,82938,120145,132280,254281,172471,50720,261197,173442,206240,70058,49360,289383,30326,68728,52117,278660,58760,85163,632612,289085,106454,155886,345668,43947,38847,140316,32151,166378,714040,107196,274413,3250,24737,250797,171711,47369,25740
